objID,raMean,decMean,rKronMag
120010009166124924,0.91661317,10.01203797,-999.0
120010009169884644,0.91684505,10.01174201,-999.0
120010009169884644,0.91684505,10.01174201,-999.0
120010009183379436,0.91833473,10.01571204,22.452299118041992
120010009193210635,0.91936013,10.00843407,22.215499877929688
120010009193210635,0.91936013,10.00843407,22.252199172973633
120010009193657396,0.91941393,10.01409318,22.455900192260742
120010009193657396,0.91941393,10.01409318,22.50309944152832
120010009214727009,0.92151202,10.0135628,20.872699737548828
120010009214727009,0.92151202,10.0135628,20.85540008544922
120010009219254705,0.92188392,10.01179001,-999.0
120010009221321179,0.92213196,10.00891772,-999.0
120010009223844257,0.92236552,10.0114351,22.022199630737305
120010009223844257,0.92236552,10.0114351,21.60740089416504
120010009243318487,0.92450732,10.01501605,21.026199340820312
120010009244828837,0.92447256,10.01529246,19.318899154663086
120010009244950939,0.92448459,10.00869125,21.893699645996094
120010009244950939,0.92448459,10.00869125,21.951400756835938
120010009245846842,0.92458441,10.01363561,22.652700424194336
120010009247838461,0.92470538,10.01474671,-999.0
120010009260459015,0.92606249,10.01540488,21.96780014038086
120010009275127980,0.92751253,10.01458524,-999.0
120010009279848057,0.92799244,10.01465903,-999.0
120010009284096177,0.92852308,10.01295894,22.710899353027344
120010009284096177,0.92852308,10.01295894,22.573200225830078
120010009294853404,0.92951114,10.01073328,23.080900192260742
120010009294853404,0.92951114,10.01073328,23.249500274658203
120050010883259696,1.08838405,10.04934364,23.006799697875977
120050010936796912,1.0936793,10.04702801,-999.0
120050010938896509,1.0938438,10.04672001,21.770999908447266
120050010955411847,1.09552922,10.04273406,20.469100952148438
120050010965400368,1.09652577,10.04151134,-999.0
120050010974596525,1.0973845,10.04666729,23.330799102783203
120050011010224935,1.10102285,10.04537945,22.608299255371094
120050011016785384,1.10166457,10.04568859,-999.0
120050011018129743,1.10180278,10.04928409,20.295900344848633
120050011071509256,1.10715023,10.04898247,-999.0
120050011082857959,1.1083111,10.04777772,22.07859992980957
120050011090436067,1.10908177,10.04627694,23.04360008239746
120050011110429299,1.11101669,10.04887077,22.265600204467773
120050011163597379,1.11634275,10.04736359,16.634199142456055
120050011189115830,1.11895462,10.0460195,21.44099998474121
120060008179463682,0.8179817,10.05269991,22.61520004272461
120060008179463682,0.8179817,10.05269991,22.37310028076172
120060008183202529,0.81843066,10.05168716,-999.0
120060008183202529,0.81843066,10.05168716,23.823699951171875
120060008202653905,0.8203676,10.05282445,21.85540008544922
120060008202653905,0.8203676,10.05282445,21.81570053100586
120060008226108126,0.82261655,10.05637526,-999.0
120060008226108126,0.82261655,10.05637526,-999.0
120060008226678647,0.82268311,10.05680776,-999.0
120060008226678647,0.82268311,10.05680776,-999.0
120060008312650144,0.83133746,10.0497615,21.82430076599121
120060008381324602,0.83812688,10.05343562,-999.0
120060008383142140,0.83831474,10.05138337,-999.0
120060008393699658,0.83942392,10.05764195,22.98889923095703
120060008397446043,0.83974293,10.05463695,-999.0
120060008410263828,0.84102601,10.05279091,22.81100082397461
120060008490632090,0.84911482,10.05132942,23.831899642944336
120060008518421745,0.85177471,10.05123136,-999.0
120060008523539712,0.85236266,10.0576949,-999.0
120060008569451127,0.85694397,10.05054093,22.04960060119629
120060008590020683,0.8590027,10.05016946,23.090099334716797
120060008591241686,0.85912413,10.05100564,-999.0
120060008597245992,0.85972965,10.05459529,21.563100814819336
120060008613197074,0.86135992,10.05546732,21.426799774169922
120060008623567235,0.86235546,10.05567972,21.79050064086914
120070008280654408,0.82813902,10.06159272,20.69849967956543
120070008280654408,0.82813902,10.06159272,20.727800369262695
120070008292083698,0.82929696,10.06098341,22.454999923706055
120070008292083698,0.82929696,10.06098341,22.393600463867188
120070008304058551,0.83047451,10.06501281,23.409299850463867
120070008312611009,0.83126143,10.05878559,22.887699127197266
120070008326230658,0.83264276,10.05849236,23.074100494384766
120070008359778945,0.83602389,10.0653767,21.015499114990234
120070008371606689,0.83727935,10.06349932,-999.0
120070008429076938,0.84298911,10.06367746,-999.0
120070008479057843,0.84795581,10.0644653,22.46660041809082
120070008494409033,0.84944938,10.06547257,-999.0
120070008602680720,0.86029851,10.05851252,-999.0
120070008607229181,0.86077638,10.06555772,-999.0
120070008648789218,0.86500718,10.06535999,20.49340057373047
120070008731481051,0.87314659,10.05881089,-999.0
120070008746743947,0.87471057,10.06121091,18.095199584960938
120070008747660170,0.8747663,10.05808254,23.906700134277344
120070008768021152,0.87683376,10.05888083,22.627399444580078
120070008776226641,0.87766083,10.06345823,-999.0
120070008779289443,0.87795214,10.06579617,21.687599182128906
120070008791496052,0.87922814,10.06292363,19.723499298095703
120070008927069780,0.89277457,10.06604703,15.805100440979004
120070008952468378,0.8952489,10.06492523,-999.0
120070008962274453,0.89624439,10.06165003,-999.0
120070008979946876,0.89800855,10.06365522,19.2593994140625
120070008983459275,0.89839451,10.06562929,21.89859962463379
120070008985275668,0.89854593,10.06263922,21.489599227905273
120070009060649780,0.90608468,10.06610331,22.93160057067871
120070009090218246,0.90902187,10.06480547,-999.0
120070009104070830,0.91041888,10.0586335,24.15559959411621
120070009155950554,0.91562389,10.05837849,23.25
120070009158902760,0.91586947,10.06020843,20.514400482177734
120070009188921226,0.91888382,10.05892801,22.49209976196289
120070009205487521,0.9205486,10.06420268,22.893699645996094
120070009243575792,0.92434992,10.06271583,21.76409912109375
120070009253837606,0.92534086,10.06428531,21.55150032043457
120070009288650565,0.92888359,10.05837642,21.213600158691406
120070009300528105,0.93001025,10.06454847,21.865100860595703
120070009307940437,0.93079519,10.05829761,23.02079963684082
120100009842261152,0.98439693,10.08379772,21.496700286865234
120100009903073393,0.99030746,10.08576053,22.836700439453125
120100009906603641,0.99077422,10.08615438,-999.0
120100009930952792,0.99309514,10.0852598,23.101499557495117
120100009950422235,0.99505586,10.08478947,23.203699111938477
120100009955354262,0.99550485,10.08650435,-999.0
120100009963438807,0.99632702,10.09020888,18.187400817871094
120100010121577811,1.01212543,10.08936611,-999.0
120100010152943543,1.01523642,10.08582401,21.271299362182617
120100010166794623,1.01667758,10.08670903,20.449399948120117
120100010173741563,1.01737961,10.08418923,20.7721004486084
120100010197342028,1.01978969,10.08463022,-999.0
120100010251877045,1.02518747,10.08880544,-999.0
120100010279976317,1.02799754,10.08819724,-999.0
120100010285161922,1.02851642,10.08453631,22.41189956665039
120100010325425267,1.03254138,10.08732223,22.391399383544922
120100010329637295,1.03288524,10.08899409,21.97760009765625
120100010364333776,1.03650754,10.08593479,22.810100555419922
120100010367559507,1.03687842,10.09061113,-999.0
120100010419027291,1.04186459,10.08891404,21.32110023498535
120100010462131353,1.04621309,10.08406278,-999.0
120100010491090510,1.04917196,10.08327898,21.57469940185547
120100010510371874,1.05104158,10.08449649,-999.0
120100010537058229,1.05370555,10.08979122,23.115699768066406
120100010561639898,1.05617847,10.09111507,21.615299224853516
120100010581637159,1.058138,10.08867705,21.915000915527344
120100010593279612,1.05932775,10.09094474,23.215299606323242
120100010638305378,1.06383087,10.08741541,-999.0
120100010638551075,1.0640313,10.08365996,-999.0
120100010688021118,1.06880309,10.08388101,22.173799514770508
120100010709180716,1.07089625,10.08345325,20.3346004486084
120100010740134448,1.07403316,10.08661885,-999.0
120100010761689137,1.07616951,10.09054956,-999.0
120100010765455808,1.07655817,10.08770091,15.01159954071045
120100010775652623,1.07759087,10.08502945,21.524700164794922
120100010845402588,1.084554,10.08512279,22.38050079345703
120100010878588093,1.08785883,10.08967897,-999.0
120100010980378216,1.09805596,10.0896939,21.91230010986328
120100011037596771,1.10372368,10.08851188,21.427499771118164
120100011076679925,1.10767119,10.0911517,-999.0
120110009395875076,0.9396014,10.09545473,21.23780059814453
120110009474224148,0.9474149,10.09464031,22.533700942993164
120110009497192642,0.94972085,10.09341317,19.125099182128906
120110009517652200,0.95173703,10.09311422,22.19930076599121
120110009579420980,0.9579717,10.09206895,22.237499237060547
